Today''s Date,11/06/2014 1:06:27 PM
Date of Test:,11/06/2014 10:53:26 AM
Step,TestTime,StepTime,Amps,Volts,ACR,
2,18.32,13.32,1.99931,3.58984
2,18.42,13.42,2.00160,3.59075
2,18.52,13.52,1.99931,3.58892
2,18.62,13.62,2.00046,3.58984
2,18.72,13.72,2.00046,3.58984
2,18.82,13.82,1.99931,3.58984
2,18.92,13.92,2.00046,3.58984
2,19.02,14.02,2.00046,3.58892
2,19.12,14.12,2.00160,3.58984
2,19.22,14.22,2.00160,3.59075
2,19.32,14.32,2.00046,3.59075
2,19.42,14.42,2.00275,3.59075
2,19.52,14.52,1.99817,3.59075
2,19.62,14.62,1.99931,3.59075
2,19.72,14.72,1.99931,3.59167
2,19.82,14.82,1.99931,3.59075
2,19.92,14.92,2.00046,3.59167
2,20.02,15.02,1.99931,3.59075
2,20.12,15.12,2.00046,3.59075
2,20.22,15.22,2.00046,3.59075
2,20.32,15.32,1.99931,3.59075
2,20.42,15.42,2.00046,3.59075
2,20.52,15.52,2.00046,3.59075
2,20.62,15.62,2.00046,3.59167
2,20.72,15.72,2.00046,3.59167
2,20.82,15.82,2.00046,3.59258
2,20.92,15.92,2.00046,3.59167
2,21.02,16.02,1.99931,3.59167
2,21.12,16.12,1.99931,3.59258
2,21.22,16.22,2.00046,3.59167
2,21.32,16.32,1.99931,3.59258
2,21.42,16.42,2.00046,3.59350
2,21.52,16.52,2.00046,3.59350
2,21.62,16.62,1.99931,3.59258
2,21.72,16.72,2.00046,3.59167
2,21.82,16.82,1.99931,3.59258
2,21.92,16.92,2.00046,3.59442
2,22.02,17.02,2.00046,3.59350
2,22.12,17.12,1.99931,3.59350
2,22.22,17.22,1.99931,3.59350
2,22.32,17.32,1.99817,3.59258
2,22.42,17.42,2.00046,3.59350
2,22.52,17.52,1.99931,3.59350
2,22.62,17.62,1.99931,3.59350
2,22.72,17.72,2.00046,3.59350
2,22.82,17.82,1.99931,3.59442
2,22.92,17.92,1.99931,3.59442
2,23.02,18.02,1.99931,3.59350
2,23.12,18.12,1.99817,3.59442
2,23.22,18.22,2.00046,3.59442
2,23.32,18.32,2.00046,3.59442
2,23.42,18.42,2.00046,3.59442
2,23.52,18.52,1.99931,3.59442
2,23.62,18.62,2.00046,3.59442
2,23.72,18.72,2.00046,3.59442
2,23.82,18.82,1.99931,3.59350
2,23.92,18.92,2.00046,3.59533
2,24.02,19.02,1.99931,3.59533
2,24.12,19.12,2.00046,3.59533
